Station,EntryTapCount,ExitTapCount,TotalFlow
Woolwich EL,15274.854922279792,14832.725388601037,30107.58031088083
Tooting Broadway,15012.400824553368,14911.62024736601,29924.02107191938
Tottenham Hale,15245.211106011931,14618.092703074804,29863.303809086738
Notting Hill Gate,14017.224517906336,14978.30303030303,28995.527548209368
Angel,14071.597881160755,14837.423767848917,28909.02164900967
Gloucester Road,13744.19322519084,13401.385973282442,27145.579198473282
Mile End,13397.480751604033,13284.150779101741,26681.631530705774
Bethnal Green,13594.040422599908,13045.453376205787,26639.493798805695
East Ham,13127.398713826367,12773.204409738171,25900.60312356454
Canada Water,12750.331653687586,12992.8689876317,25743.200641319287
Richmond,12833.961062757673,12807.727897388915,25641.68896014659
Aldgate East,12543.006976744186,12021.256744186046,24564.263720930234
Marble Arch,12170.475839852737,11982.028071790151,24152.50391164289
Balham,11967.530004580853,11949.54283096656,23917.072835547413
St Pauls,11601.975676916016,12056.341441027995,23658.31711794401
Southwark,11489.184022824536,11871.551592962434,23360.735615786973
Wood Green,11750.303489439853,11496.995408631772,23247.298898071625
St James's Park,11428.317983519148,11706.90111488124,23135.219098400386
Chancery Lane,11062.549141221374,11874.844465648855,22937.393606870228
Monument,10796.458581235698,11563.047597254004,22359.506178489704
Blackfriars,10399.308045977012,11660.91816091954,22060.22620689655
Leyton,11314.844771994472,10649.599263012436,21964.44403500691
Euston Square,10047.807284462886,11909.750576302444,21957.55786076533
Blackhorse Road,10900.605496040987,10281.829995342337,21182.435491383327
High Street Kensington,10638.745638200184,10376.049127640037,21014.79476584022
Harrow-on-the-Hill,10153.366972477064,10773.152293577981,20926.519266055046
Upton Park,10471.630755064456,10119.964548802947,20591.5953038674
Custom House EL,10385.677914110429,10183.788343558283,20569.46625766871
Morden,10430.400091659028,10015.877176901924,20446.277268560953
Marylebone,9842.430670339761,10511.477502295684,20353.908172635445
Turnpike Lane,10001.64676159853,10112.759301791457,20114.406063389986
Romford,9746.547275267816,10120.122962272939,19866.670237540755
Stockwell,10543.88756310234,9238.41211564938,19782.299678751722
Hammersmith C&H,10042.503908045977,9443.586206896553,19486.09011494253
Clapham Common,9168.26351970669,10229.26993583868,19397.53345554537
Woolwich Arsenal DLR,9603.846473029045,9561.35500230521,19165.201475334256
White City,9489.443884562528,9447.346770499313,18936.790655061843
West Hampstead,9788.488051470587,9129.60799632353,18918.09604779412
Russell Square,9329.338397790056,9558.620626151012,18887.959023941068
Battersea Power Station,9712.356085526315,9166.25822368421,18878.614309210527
Ilford,9039.286723163841,9350.497175141243,18389.783898305086
Leytonstone,9150.21028466483,9152.149219467401,18302.35950413223
Pimlico,9217.564174894218,9015.69863657734,18233.262811471555
Bermondsey,9045.96873519659,8893.23827569872,17939.20701089531
Finchley Road,8878.401376146789,8520.516513761468,17398.917889908258
Fulham Broadway,8630.771454795778,8718.72097292336,17349.49242771914
Archway,8744.889857732906,8325.25195043598,17070.141808168886
Aldgate,7783.263109475621,8818.05611775529,16601.31922723091
Shoreditch High Street,7764.935634328358,8550.83208955224,16315.767723880597
Euston NR,7717.558074965294,7929.23877834336,15646.796853308653
Queensway,7633.448356807512,7972.411267605634,15605.859624413146
Clapham South,7774.691252955083,7711.51158392435,15486.202836879433
Manor House,7862.667769376181,7614.871455576559,15477.539224952741
St Johns Wood,7535.034894398531,7839.718089990817,15374.752984389348
Shepherds Bush LO,7476.919518963922,7836.330249768733,15313.249768732654
Canary Wharf DLR,7351.596241979835,7936.5664527956005,15288.162694775436
Golders Green,7505.103622191656,7548.5387436955525,15053.642365887208
Tooting Bec,7701.726730857405,7347.359468133884,15049.086198991288
Colindale,7609.878481012658,7344.367594936709,14954.246075949368
Barbican,7165.154580152672,7421.086832061069,14586.24141221374
Heathrow Terminals 2&3,7928.764328289775,6509.894085281981,14438.658413571757
Willesden Green,7274.544577205882,7145.16268382353,14419.707261029413
Kilburn,7268.7784431137725,7107.994472593275,14376.772915707048
Temple,6888.478949975235,7242.153541357107,14130.632491332342
Abbey Wood,7297.839466421343,6746.042778288868,14043.882244710212
Oval,6980.082530949106,6790.252177900046,13770.334708849152
Uxbridge,6935.568997240111,6820.684912603496,13756.253909843606
Colliers Wood,6867.352590554791,6546.320495185694,13413.673085740485
Great Portland Street,6637.434657730972,6502.222594542844,13139.657252273815
Swiss Cottage,6598.873730043541,6470.862602805999,13069.736332849541
Peckham Rye,6365.288470372072,6545.376665135507,12910.66513550758
Hendon Central,6608.447623442547,6167.958006460544,12776.405629903093
Edgware Road C&H,6440.2252293577985,6274.0,12714.225229357799
Clapham North,6105.747706422018,6582.005504587156,12687.753211009174
Dalston Kingsland,6308.03638876094,6370.58774758176,12678.6241363427
Hackney Central,6198.432258064516,6417.319815668203,12615.75207373272
Barons Court,6378.84275862069,6139.476781609195,12518.319540229884
East Putney,6316.227041993539,6190.143516382095,12506.370558375635
East Finchley,6308.837305224564,6134.653528872594,12443.490834097158
North Acton,6226.166055045872,6213.78256880734,12439.948623853212
Hyde Park Corner,5943.780240963855,6446.381686746988,12390.161927710844
Acton Town,6088.072217111316,6289.673413063478,12377.745630174793
Ladbroke Grove,6214.282488479263,6096.429032258065,12310.711520737326
Denmark Hill,6197.603137978773,6108.063682510383,12305.666820489156
Parsons Green,6189.290114942529,6108.0675862068965,12297.357701149425
Gants Hill,6227.147194112235,6008.439742410304,12235.586936522539
Goodge Street,5944.636094674556,6273.275641025641,12217.911735700198
Dagenham Heathway,6067.863114377584,6068.768488745981,12136.631603123564
Dalston Junction,5893.9740139211135,6018.832482598608,11912.80649651972
Southfields,6118.211397058823,5753.986213235294,11872.197610294117
Hayes & Harlington,5953.354290959155,5661.883891693437,11615.238182652593
Wembley Central,5626.247816091954,5933.76183908046,11560.009655172415
Holloway Road,5725.992657182193,5787.756310234053,11513.748967416246
Belsize Park,5876.5729406350665,5606.361711919006,11482.934652554073
Cannon Street,6055.213001383126,5407.630705394191,11462.843706777317
West Ham,5653.261108566193,5786.585890975722,11439.846999541915
Stepney Green,5807.614629356897,5590.365733922435,11397.980363279332
Putney Bridge,5466.688592456302,5855.071297148114,11321.759889604416
Kentish Town,5753.611467889908,5499.008256880734,11252.619724770642
Turnham Green,5461.212844036697,5646.501834862385,11107.714678899083
Woodford,5603.233348644924,5486.852090032155,11090.085438677079
Bounds Green,5635.612735849057,5419.137735849056,11054.750471698113
Shadwell DLR,5687.3133577310155,5301.623970722781,10988.937328453796
Mansion House,5319.752267303103,5624.568019093079,10944.320286396181
Plaistow,5569.49005090236,5319.400740397964,10888.890791300324
Limehouse DLR,5938.646709323583,4950.101919561243,10888.748628884827
Willesden Junction,5480.113605130554,5357.251946862117,10837.36555199267
Kennington,5456.9055045871555,5357.938073394495,10814.843577981652
Cutty Sark,5746.901897269782,5061.716797778806,10808.618695048588
Chalk Farm,5880.540235525024,4905.489695780177,10786.029931305202
Queens Park,5381.415405777167,5168.141678129298,10549.557083906466
Lancaster Gate,5341.673891625615,5090.340886699508,10432.014778325123
Caledonian Road,5375.017134697763,5054.6934792955735,10429.710613993337
Highgate,5176.705287356322,5238.84091954023,10415.546206896552
Southall,5303.225791647545,5056.046810463516,10359.27260211106
Wood Lane,4891.075680664513,5353.269035532995,10244.344716197507
Northolt,5235.877466727857,4986.703533731069,10222.581000458926
Forest Gate,5118.4183625177475,5040.377188831046,10158.795551348792
Lewisham DLR,5366.585287356322,4767.284137931035,10133.869425287356
West Hampstead LO,5100.443522360535,5030.17796219456,10130.621484555095
New Cross Gate,4939.457798165137,5173.615596330275,10113.073394495414
Edgware,5037.889093419236,5037.605154164749,10075.494247583985
Southgate,4908.070833333333,5161.771759259259,10069.842592592593
Surrey Quays,5235.0147737765465,4816.4810710987995,10051.495844875346
Homerton,5106.169626168225,4837.362149532711,9943.531775700934
South Woodford,4808.2876208007365,5134.522319374137,9942.809940174873
Bow Road,5055.531573986805,4835.400565504241,9890.932139491046
Borough,4851.255440414508,4948.986010362694,9800.241450777203
Camden Road,4738.249424758398,5044.930050621261,9783.17947537966
Cannon Street ,5189.790277777778,4580.518055555555,9770.308333333332
Newbury Park,5066.815765352887,4634.0362053162235,9700.851970669111
Finchley Central,4802.429422548121,4852.8487626031165,9655.278185151237
Upminster,4636.330737517178,4748.4480073293635,9384.77874484654
Chadwell Heath,4781.688532326569,4585.001887682869,9366.690420009438
Hampstead,4373.649809160305,4952.5224236641225,9326.172232824427
South Wimbledon,4709.407497565726,4585.328627069133,9294.73612463486
West Brompton,4711.170027497708,4555.664069660862,9266.83409715857
Heathrow Terminal 5,5139.209171736079,4120.314927468414,9259.524099204493
Gunnersbury,4709.697983501374,4509.6613198900095,9219.359303391384
West Croydon,4683.247937671861,4412.859303391384,9096.107241063244
Forest Hill,4682.352805887765,4336.908003679853,9019.260809567617
Kingsbury,4510.7657407407405,4472.131481481481,8982.897222222222
Harrow & Wealdstone,4631.368227731864,4297.487144168962,8928.855371900827
Kew Gardens,4492.430536451169,4390.881247134342,8883.311783585512
Edgware Road B,4343.48347107438,4493.168962350781,8836.65243342516
Nine Elms,4577.207673060884,4234.765638031693,8811.973311092577
West Kensington,4539.983848638671,4225.057683433318,8765.04153207199
Norwood Junction,4566.524311926605,4191.278899082568,8757.803211009174
Arnos Grove,4444.620833333333,4159.750462962963,8604.371296296296
Tufnell Park,4426.655609756098,4162.567317073171,8589.222926829269
Shadwell LO,3843.5900418799442,4736.503955328059,8580.093997208003
Burnt Oak,4315.626907073509,4202.656495607952,8518.283402681462
Bromley-by-Bow,4287.481136469492,4194.990218910107,8482.4713553796
Goodmayes,4286.392239364189,4172.50350631136,8458.895745675549
Greenford,4207.803759743237,4184.373223292067,8392.176983035304
Watford Junction,4369.28984841525,3990.897106109325,8360.186954524575
Bayswater,4217.723543123543,3932.8358974358976,8150.55944055944
Westbourne Park,4219.284458834412,3923.055041628122,8142.3395004625345
Hounslow East,3927.7926545792657,4162.6145978614595,8090.407252440726
Heron Quays,3979.7232387923145,4101.376029277219,8081.0992680695335
Rayners Lane,4023.873161764706,3967.971507352941,7991.844669117647
High Barnet,4021.101788170564,3921.248509857863,7942.3502980284275
Hampstead Heath,3956.1308584686776,3985.973549883991,7942.1044083526685
Queensbury,3981.684234858992,3937.886269070735,7919.570503929727
Seven Kings,4074.7314771118454,3775.122699386503,7849.854176498348
Edmonton Green,3931.272599531616,3913.3789227166276,7844.651522248244
Stanmore,3899.005522319374,3920.485503911643,7819.491026231017
Dollis Hill,4085.877428307123,3721.006475485661,7806.883903792785
Brockley,4019.0904476234427,3772.752191970466,7791.842639593909
Northwick Park,3863.820287169986,3780.749421028254,7644.56970819824
