Route,Score,End,End Exit Volume,Start,End Clean
"['Victoria LU', '[TRANSFER→]Green Park', 'Westminster', 'Green Park', 'Bond Street', '[TRANSFER→]Baker Street']",598706.340406786,Bond Street,65259.91811015903,Victoria LU,Bond Street
"['Waterloo LU', 'Westminster', 'Green Park', 'Bond Street', '[TRANSFER→]Tottenham Court Road', '[TRANSFER→]Holborn']",598706.340406786,Bond Street,65259.91811015903,Waterloo LU,Bond Street
"['Piccadilly Circus', '[TRANSFER→]Green Park', 'Bond Street', '[TRANSFER→]Green Park', 'Westminster', 'Green Park']",598706.340406786,Green Park,50979.93327935799,Piccadilly Circus,Green Park
"['Waterloo LU', 'Westminster', 'Green Park', '[TRANSFER→]Bond Street', '[TRANSFER→]Tottenham Court Road', 'Bond Street']",598706.340406786,Bond Street,65259.91811015903,Waterloo LU,Bond Street
"['Bank and Monument', ""St. Paul's"", 'Chancery Lane', 'Holborn', '[TRANSFER→]Tottenham Court Road', 'Oxford Circus']",598025.2918949416,Oxford Circus,88888.96704187145,Bank and Monument,Oxford Circus
"['Bank and Monument', 'Liverpool Street LU', 'Farringdon', '[TRANSFER→]Tottenham Court Road', '[TRANSFER→]Bond Street', 'Paddington TfL']",597482.6029948303,Paddington TfL,81178.24734898907,Bank and Monument,Paddington TfL
"['Bond Street', 'Green Park', 'Westminster', '[TRANSFER→]Waterloo LU', '[TRANSFER→]Southwark', 'London Bridge LU']",597415.273202575,London Bridge LU,79888.75974908941,Bond Street,London Bridge LU
"['Victoria LU', 'Green Park', '[TRANSFER→]Westminster', 'Embankment', '[TRANSFER→]Westminster', 'Waterloo LU']",596160.9202450904,Waterloo LU,93112.82099030414,Victoria LU,Waterloo LU
"['Piccadilly Circus', 'Green Park', '[TRANSFER→]Westminster', 'Embankment', '[TRANSFER→]Westminster', 'Waterloo LU']",596160.9202450904,Waterloo LU,93112.82099030414,Piccadilly Circus,Waterloo LU
"['Euston LU', ""[TRANSFER→]King's Cross St. Pancras"", 'Farringdon', '[TRANSFER→]Tottenham Court Road', 'Bond Street', 'Paddington TfL']",595794.1126602163,Paddington TfL,81178.24734898907,Euston LU,Paddington TfL
"['Waterloo LU', 'Southwark', '[TRANSFER→]London Bridge LU', 'Bermondsey', 'London Bridge LU', 'Bank and Monument']",595569.4953997554,Bank and Monument,54480.33995698597,Waterloo LU,Bank and Monument
"['Victoria LU', 'Green Park', 'Westminster', '[TRANSFER→]Embankment', 'Waterloo LU', '[TRANSFER→]Southwark']",595546.566952394,Waterloo LU,93112.82099030414,Victoria LU,Waterloo LU
"['London Bridge LU', '[TRANSFER→]Southwark', 'Waterloo LU', 'Westminster', 'Green Park', '[TRANSFER→]Piccadilly Circus']",595546.566952394,Green Park,50979.93327935799,London Bridge LU,Green Park
"['Oxford Circus', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Westminster', '[TRANSFER→]Embankment', 'Waterloo LU']",595546.566952394,Waterloo LU,93112.82099030414,Oxford Circus,Waterloo LU
"['Oxford Circus', 'Green Park', 'Westminster', '[TRANSFER→]Embankment', 'Waterloo LU', '[TRANSFER→]Embankment']",595546.566952394,Waterloo LU,93112.82099030414,Oxford Circus,Waterloo LU
"['Bond Street', '[TRANSFER→]Oxford Circus', 'Green Park', 'Westminster', 'Waterloo LU', '[TRANSFER→]Southwark']",595546.566952394,Waterloo LU,93112.82099030414,Bond Street,Waterloo LU
"['Victoria LU', 'Green Park', 'Westminster', '[TRANSFER→]Waterloo LU', 'Kennington (Charing Cross)', 'Waterloo LU']",595546.566952394,Waterloo LU,93112.82099030414,Victoria LU,Waterloo LU
"['Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Westminster', 'Green Park', 'Westminster', 'Waterloo LU']",595546.566952394,Waterloo LU,93112.82099030414,Victoria LU,Waterloo LU
"['Victoria LU', 'Green Park', 'Westminster', 'Waterloo LU', '[TRANSFER→]Southwark', '[TRANSFER→]London Bridge LU']",595546.566952394,Waterloo LU,93112.82099030414,Victoria LU,Waterloo LU
"['London Bridge LU', '[TRANSFER→]Southwark', 'Waterloo LU', 'Westminster', 'Green Park', '[TRANSFER→]Bond Street']",595546.566952394,Green Park,50979.93327935799,London Bridge LU,Green Park
"['Tottenham Court Road', '[TRANSFER→]Oxford Circus', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Westminster', 'Waterloo LU']",595546.566952394,Waterloo LU,93112.82099030414,Tottenham Court Road,Waterloo LU
"['Oxford Circus', '[TRANSFER→]Tottenham Court Road', '[TRANSFER→]Bond Street', 'Green Park', 'Westminster', 'Waterloo LU']",595546.566952394,Waterloo LU,93112.82099030414,Oxford Circus,Waterloo LU
"['Tottenham Court Road', '[TRANSFER→]Oxford Circus', 'Green Park', 'Westminster', 'Waterloo LU', '[TRANSFER→]Bank and Monument']",595546.566952394,Waterloo LU,93112.82099030414,Tottenham Court Road,Waterloo LU
"['London Bridge LU', '[TRANSFER→]Southwark', 'Waterloo LU', 'Westminster', 'Green Park', '[TRANSFER→]Oxford Circus']",595546.566952394,Green Park,50979.93327935799,London Bridge LU,Green Park
"['Oxford Circus', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Westminster', 'Waterloo LU', '[TRANSFER→]Southwark']",595546.566952394,Waterloo LU,93112.82099030414,Oxford Circus,Waterloo LU
"['Piccadilly Circus', 'Green Park', 'Westminster', 'Waterloo LU', '[TRANSFER→]Southwark', '[TRANSFER→]London Bridge LU']",595546.566952394,Waterloo LU,93112.82099030414,Piccadilly Circus,Waterloo LU
"['Victoria LU', 'Green Park', 'Westminster', '[TRANSFER→]Waterloo LU', '[TRANSFER→]Southwark', 'Waterloo LU']",595546.566952394,Waterloo LU,93112.82099030414,Victoria LU,Waterloo LU
"['Oxford Circus', '[TRANSFER→]Green Park', '[TRANSFER→]Westminster', 'Waterloo LU', 'Westminster', 'Green Park']",595546.566952394,Green Park,50979.93327935799,Oxford Circus,Green Park
"['Farringdon', 'Barbican', 'Moorgate', 'Old Street', 'Angel', ""King's Cross St. Pancras""]",594710.0587487319,King's Cross St. Pancras,122827.76544140621,Farringdon,King's Cross St. Pancras
"['Leicester Square', '[TRANSFER→]Charing Cross LU', 'Embankment', 'Charing Cross LU', '[TRANSFER→]Piccadilly Circus', 'Oxford Circus']",594617.3463430937,Oxford Circus,88888.96704187145,Leicester Square,Oxford Circus
