line_id,line_name,mode_name,station_id,station_name,lat,lon,station_modes
central,Central,tube,940GZZLUEPG,Epping Underground Station,51.69368,0.113767,['tube']
central,Central,tube,940GZZLUFLP,Fairlop Underground Station,51.595618,0.091004,['tube']
central,Central,tube,940GZZLUGFD,Greenford Underground Station,51.542424,-0.34605,['tube']
central,Central,tube,940GZZLUGGH,Grange Hill Underground Station,51.613378,0.092066,"['bus', 'tube']"
central,Central,tube,940GZZLUGTH,Gants Hill Underground Station,51.576544,0.066185,['tube']
central,Central,tube,940GZZLUHBN,Holborn Underground Station,51.51758,-0.120475,['tube']
central,Central,tube,940GZZLUHGR,Hanger Lane Underground Station,51.530177,-0.292704,['tube']
central,Central,tube,940GZZLUHLT,Hainault Underground Station,51.603659,0.093482,['tube']
central,Central,tube,940GZZLUHPK,Holland Park Underground Station,51.507143,-0.205679,"['tube', 'bus']"
central,Central,tube,940GZZLULGN,Loughton Underground Station,51.641443,0.055476,"['bus', 'tube']"
central,Central,tube,940GZZLULGT,Lancaster Gate Underground Station,51.511723,-0.175494,['tube']
central,Central,tube,940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,['tube']
central,Central,tube,940GZZLULYN,Leyton Underground Station,51.556589,-0.005523,['tube']
central,Central,tube,940GZZLULYS,Leytonstone Underground Station,51.568324,0.008194,['tube']
central,Central,tube,940GZZLUMBA,Marble Arch Underground Station,51.513424,-0.158953,['tube']
central,Central,tube,940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,['tube']
central,Central,tube,940GZZLUNAN,North Acton Underground Station,51.523524,-0.259755,['tube']
central,Central,tube,940GZZLUNBP,Newbury Park Underground Station,51.575726,0.090004,['tube']
central,Central,tube,940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,['tube']
central,Central,tube,940GZZLUNHT,Northolt Underground Station,51.548236,-0.368699,['tube']
central,Central,tube,940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,['tube']
central,Central,tube,940GZZLUPVL,Perivale Underground Station,51.536717,-0.323446,['tube']
central,Central,tube,940GZZLUQWY,Queensway Underground Station,51.510312,-0.187152,['tube']
central,Central,tube,940GZZLURBG,Redbridge Underground Station,51.576243,0.04536,['tube']
central,Central,tube,940GZZLURSG,Ruislip Gardens Underground Station,51.560736,-0.41071,['tube']
central,Central,tube,940GZZLURVY,Roding Valley Underground Station,51.617199,0.043647,['tube']
central,Central,tube,940GZZLUSBC,Shepherd's Bush (Central) Underground Station,51.504376,-0.218813,['tube']
central,Central,tube,940GZZLUSNB,Snaresbrook Underground Station,51.580678,0.02144,['tube']
central,Central,tube,940GZZLUSPU,St. Paul's Underground Station,51.514936,-0.097567,['tube']
central,Central,tube,940GZZLUSRP,South Ruislip Underground Station,51.556853,-0.398915,['tube']
central,Central,tube,940GZZLUSTD,Stratford Underground Station,51.541806,-0.003458,['tube']
central,Central,tube,940GZZLUSWF,South Woodford Underground Station,51.591907,0.027338,['tube']
central,Central,tube,940GZZLUTCR,Tottenham Court Road Underground Station,51.516426,-0.13041,['tube']
central,Central,tube,940GZZLUTHB,Theydon Bois Underground Station,51.671759,0.103085,['tube']
central,Central,tube,940GZZLUWCY,White City Underground Station,51.511959,-0.224297,['tube']
central,Central,tube,940GZZLUWOF,Woodford Underground Station,51.606899,0.03397,['tube']
central,Central,tube,940GZZLUWRP,West Ruislip Underground Station,51.569688,-0.437886,['tube']
central,Central,tube,940GZZLUWSD,Wanstead Underground Station,51.575501,0.028527,['tube']
central,Central,tube,940GZZLUWTA,West Acton Underground Station,51.518001,-0.28098,['tube']
circle,Circle,tube,940GZZLUALD,Aldgate Underground Station,51.514246,-0.075689,['tube']
circle,Circle,tube,940GZZLUBBN,Barbican Underground Station,51.520275,-0.097993,['tube']
circle,Circle,tube,940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,['tube']
circle,Circle,tube,940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,['tube']
circle,Circle,tube,940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,['tube']
circle,Circle,tube,940GZZLUCST,Cannon Street Underground Station,51.51151,-0.090432,['tube']
circle,Circle,tube,940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,['tube']
circle,Circle,tube,940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,['tube']
circle,Circle,tube,940GZZLUESQ,Euston Square Underground Station,51.525604,-0.135829,['tube']
circle,Circle,tube,940GZZLUFCN,Farringdon Underground Station,51.520252,-0.104913,['tube']
