Start_Station,End_Station,Frequency,collection_time,start_matched,end_matched,regular_total_time_min,regular_walking_time_min,regular_transfers,regular_distance_km,accessibility_total_time_min,accessibility_walking_time_min,accessibility_transfers,accessibility_distance_km
Paddington TfL,Oxford Circus,28,2025-07-28 23:58:06,True,True,14.066666666666666,6.066666666666666,0.0,3.646,14.066666666666666,6.066666666666666,0.0,3.646
Chalk Farm,Hendon Central,28,2025-07-28 23:58:06,True,True,17.3,3.3,0.0,7.321,17.3,3.3,0.0,7.321
Victoria LU,Charing Cross LU,28,2025-07-28 23:58:07,True,True,17.983333333333334,7.316666666666666,0.0,4.389,17.983333333333334,7.316666666666666,0.0,4.389
Canary Wharf LU,Waterloo LU,28,2025-07-28 23:58:08,True,True,16.233333333333334,8.433333333333334,0.0,7.536,16.233333333333334,8.433333333333334,0.0,7.536
Clapham South,South Wimbledon,28,2025-07-28 23:58:08,True,True,17.833333333333332,6.85,0.0,5.882,17.833333333333332,6.85,0.0,5.882
Hayes & Harlington,Acton Main Line,28,2025-07-28 23:58:09,True,True,34.583333333333336,18.183333333333334,1.0,12.752,34.583333333333336,18.183333333333334,1.0,12.752
Cutty Sark,Lewisham DLR,28,2025-07-28 23:58:10,True,True,6.583333333333333,3.533333333333333,0.0,1.296,6.583333333333333,3.533333333333333,0.0,1.296
West Hampstead LU,Wembley Park,28,2025-07-28 23:58:10,True,True,12.266666666666667,3.2666666666666666,0.0,6.735,12.266666666666667,3.2666666666666666,0.0,6.735
North Greenwich,Stratford,27,2025-07-28 23:58:11,True,True,15.7,6.7,0.0,5.254,15.7,6.7,0.0,5.254
Stratford,Canada Water,27,2025-07-28 23:58:12,True,True,17.55,5.466666666666667,0.0,8.954,17.55,5.466666666666667,0.0,8.954
Woodford,Stratford,27,2025-07-28 23:58:13,True,True,17.616666666666667,2.75,0.0,8.408,17.616666666666667,2.75,0.0,8.408
Goodmayes,Brentwood,27,2025-07-28 23:58:13,True,True,27.75,11.716666666666667,0.0,15.052,27.75,11.716666666666667,0.0,15.052
Victoria LU,Tottenham Court Road,27,2025-07-28 23:58:14,True,True,23.783333333333335,7.333333333333333,0.0,4.766,23.783333333333335,7.333333333333333,0.0,4.766
Colliers Wood,Morden,27,2025-07-28 23:58:15,True,True,10.116666666666667,5.1,0.0,2.765,10.116666666666667,5.1,0.0,2.765
Blackhorse Road,Rectory Road,27,2025-07-28 23:58:15,True,True,59.9,12.433333333333334,2.0,19.198,59.9,12.433333333333334,2.0,19.198
Clapham Common,Victoria LU,26,2025-07-28 23:58:16,True,True,21.683333333333334,7.716666666666667,1.0,5.554,21.683333333333334,7.716666666666667,1.0,5.554
Custom House,Gallions Reach,26,2025-07-28 23:58:17,True,True,19.083333333333332,3.466666666666667,0.0,6.626,19.083333333333332,3.466666666666667,0.0,6.626
Oxford Circus,Tottenham Court Road,26,2025-07-28 23:58:17,True,True,5.566666666666666,4.7,0.0,0.965,5.566666666666666,4.7,0.0,0.965
Clapton,Seven Sisters,26,2025-07-28 23:58:18,True,True,19.333333333333332,6.333333333333333,1.0,3.555,19.333333333333332,6.333333333333333,1.0,3.555
South Wimbledon,Clapham South,26,2025-07-28 23:58:19,True,True,16.116666666666667,6.833333333333333,0.0,5.893,16.116666666666667,6.833333333333333,0.0,5.893
Canary Wharf LU,Honor Oak Park,26,2025-07-28 23:58:19,True,True,51.56666666666667,9.333333333333334,1.0,16.549,51.56666666666667,9.333333333333334,1.0,16.549
Fulham Broadway,Wimbledon Park,26,2025-07-28 23:58:20,True,True,16.916666666666668,8.833333333333334,0.0,6.465,16.916666666666668,8.833333333333334,0.0,6.465
Slough,Reading,26,2025-07-28 23:58:21,True,True,32.88333333333333,10.883333333333333,0.0,28.832,32.88333333333333,10.883333333333333,0.0,28.832
Victoria LU,Stockwell,26,2025-07-28 23:58:21,True,True,12.95,7.75,0.0,3.955,12.95,7.75,0.0,3.955
Canary Wharf EL,Woolwich EL,26,2025-07-28 23:58:22,True,True,12.5,5.5,0.0,7.509,12.5,5.5,0.0,7.509
Waterloo LU,Oxford Circus,26,2025-07-28 23:58:23,True,True,13.466666666666667,6.45,0.0,2.906,13.466666666666667,6.45,0.0,2.906
East Ham,North Greenwich,26,2025-07-28 23:58:23,True,True,33.68333333333333,8.583333333333334,0.0,11.207,33.68333333333333,8.583333333333334,0.0,11.207
Canary Wharf LU,London Bridge LU,25,2025-07-28 23:58:24,True,True,20.383333333333333,14.966666666666667,0.0,6.393,20.383333333333333,14.966666666666667,0.0,6.393
Romford,Shenfield,25,2025-07-28 23:58:25,True,True,21.083333333333332,5.083333333333333,0.0,13.005,21.083333333333332,5.083333333333333,0.0,13.005
Belsize Park,Colindale,25,2025-07-28 23:58:25,True,True,18.933333333333334,3.816666666666667,0.0,8.466,18.933333333333334,3.816666666666667,0.0,8.466
Piccadilly Circus,Tottenham Court Road,25,2025-07-28 23:58:26,True,True,9.233333333333333,3.5833333333333335,0.0,0.861,9.233333333333333,3.5833333333333335,0.0,0.861
Tottenham Court Road,Piccadilly Circus,25,2025-07-28 23:58:27,True,True,8.95,3.2,0.0,0.926,8.95,3.2,0.0,0.926
Epping,Woodford,25,2025-07-28 23:58:27,True,True,30.166666666666668,16.033333333333335,0.0,13.116,30.166666666666668,16.033333333333335,0.0,13.116
Custom House EL,Abbey Wood,25,2025-07-28 23:58:28,True,True,15.416666666666666,5.416666666666667,0.0,7.658,15.416666666666666,5.416666666666667,0.0,7.658
Leicester Square,Bank and Monument,25,2025-07-28 23:58:29,True,True,20.733333333333334,8.016666666666667,0.0,3.73,20.733333333333334,8.016666666666667,0.0,3.73
Wood Lane,Paddington TfL,25,2025-07-28 23:58:29,True,True,123.9,9.35,2.0,36.688,123.9,9.35,2.0,36.688
King's Cross St. Pancras,Seven Sisters,25,2025-07-28 23:58:30,True,True,16.816666666666666,8.766666666666667,0.0,8.125,16.816666666666666,8.766666666666667,0.0,8.125
Putney Bridge,Wimbledon,25,2025-07-28 23:58:31,True,True,15.583333333333334,8.55,0.0,6.079,15.583333333333334,8.55,0.0,6.079
Gants Hill,Stratford,25,2025-07-28 23:58:31,True,True,29.216666666666665,3.1666666666666665,0.0,8.905,29.216666666666665,3.1666666666666665,0.0,8.905
Victoria LU,Oxford Circus,25,2025-07-28 23:58:32,True,True,11.6,7.583333333333333,0.0,2.679,11.6,7.583333333333333,0.0,2.679
Vauxhall LU,Balham LU,25,2025-07-28 23:58:33,True,True,19.483333333333334,4.433333333333334,1.0,5.775,19.483333333333334,4.433333333333334,1.0,5.775
Greenwich,South Quay,25,2025-07-28 23:58:33,True,True,43.9,21.383333333333333,1.0,8.052,43.9,21.383333333333333,1.0,8.052
