Unnamed: 0,Start_Station,End_Station,regular_total_time_min,regular_walking_time_min,Frequency,accessible_total_time_min,time_diff,eta,Start_Station_Original,End_Station_Original,Start_Station_Match_Score,End_Station_Match_Score
75,Tottenham Court Road Station,Monument Underground Station,10.45,4.733333333333333,29,25,14.55,2.392344497607656,Tottenham Court Road,Bank and Monument,1.0,0.6253333333333333
89,Stratford,Canada Water Underground Station,16.55,5.466666666666667,27,39,22.45,2.356495468277945,Stratford,Canada Water,1.0,1.0
79,Shepherd's Bush Station,Marble Arch Station,16.966666666666665,7.75,29,39,22.03333333333333,2.298624754420433,Shepherd's Bush LU,Marble Arch,0.878048780487805,1.0
86,Cutty Sark,Lewisham DLR Station,8.683333333333334,2.0,28,19,10.316666666666666,2.18809980806142,Cutty Sark,Lewisham DLR,1.0,1.0
51,Tooting Bec Station,Morden Underground Station,23.78333333333333,5.95,31,52,28.21666666666667,2.186405045550105,Tooting Bec,Morden,1.0,1.0
5,Morden Underground Station,Balham Underground Station,12.966666666666669,3.966666666666667,78,28,15.033333333333331,2.1593830334190227,Morden,Balham LU,1.0,0.74
100,Canary Wharf,Honor Oak Park Station,34.81666666666667,12.216666666666669,26,73,38.18333333333333,2.096696984202968,Canary Wharf LU,Honor Oak Park,0.8333333333333333,1.0
1,Tooting Broadway Station,Clapham North Station,15.45,6.45,93,32,16.55,2.0711974110032365,Tooting Broadway,Clapham North,1.0,1.0
27,Balham Underground Station,Morden Underground Station,14.016666666666667,4.016666666666667,42,29,14.983333333333333,2.068965517241379,Balham LU,Morden,0.74,1.0
105,Waterloo,Oxford Circus Underground Station,12.466666666666669,6.45,26,25,12.533333333333331,2.0053475935828877,Waterloo LU,Oxford Circus,0.7526315789473683,1.0
72,Waterloo,Battersea Power Station,17.833333333333332,9.066666666666666,29,35,17.166666666666668,1.9626168224299068,Waterloo LU,Battersea Power Station,0.7526315789473683,1.0
28,Woolwich Station,Abbey Wood,7.7,2.6166666666666667,40,15,7.3,1.948051948051948,Woolwich EL,Abbey Wood,1.0,1.0
61,King's Cross St. Pancras Underground Station,Farringdon,8.25,4.033333333333333,30,16,7.75,1.9393939393939397,King's Cross St. Pancras,Farringdon,1.0,1.0
110,Piccadilly Circus Underground Station,Tottenham Court Road Station,9.333333333333334,3.583333333333333,25,18,8.666666666666666,1.9285714285714284,Piccadilly Circus,Tottenham Court Road,1.0,1.0
120,Vauxhall,Balham Underground Station,18.83333333333333,4.433333333333334,25,36,17.16666666666667,1.9115044247787616,Vauxhall LU,Balham LU,0.7526315789473683,0.74
59,Ealing Broadway Underground Station,West Ealing Rail Station,8.416666666666666,5.416666666666667,30,16,7.583333333333334,1.900990099009901,Ealing Broadway,West Ealing,1.0,1.0
56,Waterloo,Monument Underground Station,10.05,5.883333333333334,31,19,8.95,1.890547263681592,Waterloo LU,Bank and Monument,0.7526315789473683,0.6253333333333333
24,London Bridge Station,Stockwell Underground Station,19.616666666666667,8.6,44,37,17.383333333333333,1.8861512319456244,London Bridge LU,Stockwell,0.8356321839080461,1.0
101,Fulham Broadway Underground Station,Wimbledon Park Underground Station,19.933333333333334,8.833333333333334,26,37,17.066666666666666,1.8561872909698995,Fulham Broadway,Wimbledon Park,1.0,1.0
112,Epping Underground Station,Woodford Station,31.166666666666668,16.033333333333335,25,57,25.83333333333333,1.8288770053475936,Epping,Woodford,1.0,1.0
53,Farringdon,King's Cross St. Pancras Underground Station,7.683333333333334,4.783333333333333,31,14,6.316666666666666,1.822125813449024,Farringdon,King's Cross St. Pancras,1.0,1.0
97,Oxford Circus Underground Station,Tottenham Court Road Station,5.566666666666666,4.7,26,10,4.433333333333334,1.796407185628743,Oxford Circus,Tottenham Court Road,1.0,1.0
114,Leicester Square Underground Station,Monument Underground Station,17.383333333333333,10.666666666666666,25,31,13.616666666666667,1.7833173537871525,Leicester Square,Bank and Monument,1.0,0.6253333333333333
7,Stratford,Seven Kings Rail Station,21.53333333333333,9.15,70,38,16.46666666666667,1.7647058823529411,Stratford,Seven Kings,1.0,1.0
70,Colindale Underground Station,Edgware Station,22.75,6.75,29,40,17.25,1.7582417582417582,Colindale,Edgware,1.0,1.0
111,Tottenham Court Road Station,Piccadilly Circus Underground Station,9.416666666666666,3.2,25,16,6.583333333333334,1.6991150442477878,Tottenham Court Road,Piccadilly Circus,1.0,1.0
55,Archway Station,Euston Underground Station,17.2,7.75,31,29,11.8,1.686046511627907,Archway,Euston LU,1.0,0.74
103,Victoria Station,Stockwell Underground Station,13.05,7.75,26,22,8.95,1.685823754789272,Victoria LU,Stockwell,0.7526315789473683,1.0
66,Notting Hill Gate Station,North Acton Station,34.86666666666667,23.866666666666667,30,58,23.133333333333333,1.6634799235181643,Notting Hill Gate,North Acton,1.0,1.0
90,Woodford Station,Stratford,14.05,2.75,27,23,8.95,1.6370106761565837,Woodford,Stratford,1.0,1.0
29,Canary Wharf DLR Station,Abbey Wood,22.2,8.116666666666667,39,35,12.8,1.576576576576577,Canary Wharf EL,Abbey Wood,1.0,1.0
108,Romford Rail Station,Shenfield Rail Station,14.6,5.6,25,22,7.4,1.5068493150684932,Romford,Shenfield,1.0,1.0
17,Victoria Station,Clapham Common Underground Station,20.633333333333333,7.033333333333333,52,31,10.366666666666667,1.5024232633279484,Victoria LU,Clapham Common,0.7526315789473683,1.0
